# PoseStamped log (one line per frame)
# fields: frame_index | has_person | t_ms | frame_id | conf | yaw_deg | qw qx qy qz | status | pos_xyz_m | translation_source | note
000000 | 0 | 0.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000001 | 0 | 41.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000002 | 0 | 83.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000003 | 0 | 125.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000004 | 0 | 166.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000005 | 0 | 208.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000006 | 0 | 250.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000007 | 0 | 291.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000008 | 0 | 333.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000009 | 0 | 375.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000010 | 0 | 416.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000011 | 0 | 458.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000012 | 0 | 500.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000013 | 0 | 541.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000014 | 0 | 583.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000015 | 0 | 625.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000016 | 0 | 666.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000017 | 0 | 708.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000018 | 0 | 750.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000019 | 0 | 791.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000020 | 0 | 833.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000021 | 0 | 875.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000022 | 0 | 916.67 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000023 | 0 | 958.33 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000024 | 0 | 1000.00 | camera_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
000025 | 1 | 1041.67 | camera_optical_frame | 1.000000 | 17.593546 | 0.944467 0.039739177 0.32155466 0.054822274 | OK | NA | none | ok
000026 | 1 | 1083.33 | camera_optical_frame | 1.000000 | 21.137474 | 0.9348716 0.035262924 0.34937817 0.052024662 | OK | NA | none | ok
000027 | 1 | 1125.00 | camera_optical_frame | 1.000000 | 21.505690 | 0.9307954 0.028225048 0.36117792 0.048721936 | OK | NA | none | ok
000028 | 1 | 1166.67 | camera_optical_frame | 1.000000 | 24.104265 | 0.9202439 0.019372148 0.3884739 0.04317328 | OK | NA | none | ok
000029 | 1 | 1208.33 | camera_optical_frame | 1.000000 | 22.559434 | 0.9221267 0.014024201 0.38496962 0.035834827 | OK | NA | none | ok
000030 | 1 | 1250.00 | camera_optical_frame | 1.000000 | 23.175255 | 0.92085326 0.0063670403 0.3888528 0.027967913 | OK | NA | none | ok
000031 | 1 | 1291.67 | camera_optical_frame | 1.000000 | 20.555481 | 0.93043536 0.004837789 0.3657249 0.022627119 | OK | NA | none | ok
000032 | 1 | 1333.33 | camera_optical_frame | 1.000000 | 20.328849 | 0.93535167 0.00038159057 0.35312003 0.020573817 | OK | NA | none | ok
000033 | 1 | 1375.00 | camera_optical_frame | 1.000000 | 19.912713 | 0.9389017 -0.0023481103 0.34360084 0.019912522 | OK | NA | none | ok
000034 | 1 | 1416.67 | camera_optical_frame | 1.000000 | 19.808642 | 0.94078666 -0.004912408 0.33841547 0.019271642 | OK | NA | none | ok
000035 | 1 | 1458.33 | camera_optical_frame | 1.000000 | 21.040829 | 0.9370919 -0.005742229 0.34846997 0.019863004 | OK | NA | none | ok
000036 | 1 | 1500.00 | camera_optical_frame | 1.000000 | 22.052242 | 0.9318348 -0.007975957 0.36227608 0.019399608 | OK | NA | none | ok
000037 | 1 | 1541.67 | camera_optical_frame | 1.000000 | 23.162740 | 0.92518574 -0.008536413 0.37895653 0.018721923 | OK | NA | none | ok
000038 | 1 | 1583.33 | camera_optical_frame | 1.000000 | 24.523630 | 0.9170214 -0.011977203 0.39821804 0.018729158 | OK | NA | none | ok
000039 | 1 | 1625.00 | camera_optical_frame | 1.000000 | 26.837477 | 0.9035864 -0.013911894 0.42769513 0.02037374 | OK | NA | none | ok
000040 | 1 | 1666.67 | camera_optical_frame | 1.000000 | 29.164310 | 0.88734066 -0.01666449 0.4601686 0.024366766 | OK | NA | none | ok
000041 | 1 | 1708.33 | camera_optical_frame | 1.000000 | 31.347130 | 0.8692876 -0.017747173 0.4932863 0.026319833 | OK | NA | none | ok
000042 | 1 | 1750.00 | camera_optical_frame | 1.000000 | 33.121618 | 0.85193175 -0.01879328 0.5226526 0.026330572 | OK | NA | none | ok
000043 | 1 | 1791.67 | camera_optical_frame | 1.000000 | 34.343904 | 0.83778125 -0.021069055 0.54497033 0.02619356 | OK | NA | none | ok
000044 | 1 | 1833.33 | camera_optical_frame | 1.000000 | 39.920826 | 0.7977897 -0.02715085 0.6018072 0.024950355 | OK | NA | none | ok
000045 | 1 | 1875.00 | camera_optical_frame | 1.000000 | 45.418718 | 0.74276924 -0.03013207 0.66854537 0.020807233 | OK | NA | none | ok
000046 | 1 | 1916.67 | camera_optical_frame | 1.000000 | 51.900754 | 0.6698418 -0.031779896 0.74169415 0.013848141 | OK | NA | none | ok
000047 | 1 | 1958.33 | camera_optical_frame | 1.000000 | 58.970962 | 0.5796638 -0.032897417 0.8141803 0.0042573093 | OK | NA | none | ok
000048 | 1 | 2000.00 | camera_optical_frame | 1.000000 | 67.889797 | 0.3212003 -0.020009223 0.49838835 0.8050087 | OK | NA | none | ok
000049 | 1 | 2041.67 | camera_optical_frame | 1.000000 | 76.977847 | 0.20989335 -0.8154512 0.26273045 0.4711229 | OK | NA | none | ok
000050 | 1 | 2083.33 | camera_optical_frame | 1.000000 | 85.944260 | 0.108658396 -0.96959233 0.089578696 0.20014898 | OK | NA | none | ok
000051 | 1 | 2125.00 | camera_optical_frame | 1.000000 | 94.115961 | 0.070287935 -0.99409145 0.011524086 0.081908256 | OK | NA | none | ok
000052 | 1 | 2166.67 | camera_optical_frame | 1.000000 | 101.780171 | 0.0036344195 -0.5613626 0.035713825 0.82679105 | OK | NA | none | ok
000053 | 1 | 2208.33 | camera_optical_frame | 1.000000 | 109.697881 | -0.025074333 -0.2375455 0.033748716 0.97046614 | OK | NA | none | ok
000054 | 1 | 2250.00 | camera_optical_frame | 1.000000 | 116.024167 | -0.03253144 -0.097236566 0.027591817 0.99434674 | OK | NA | none | ok
000055 | 1 | 2291.67 | camera_optical_frame | 1.000000 | 122.622516 | -0.03300326 -0.040556975 0.02194913 0.9983908 | OK | NA | none | ok
000056 | 1 | 2333.33 | camera_optical_frame | 1.000000 | 128.007274 | -0.03212184 -0.018053427 0.01796218 0.99915946 | OK | NA | none | ok
000057 | 1 | 2375.00 | camera_optical_frame | 1.000000 | 132.320552 | -0.02118465 -0.008154758 0.010835318 0.9996836 | OK | NA | none | ok
000058 | 1 | 2416.67 | camera_optical_frame | 1.000000 | 135.992124 | -0.01403573 -0.0039412244 0.006555589 0.99987227 | OK | NA | none | ok
000059 | 1 | 2458.33 | camera_optical_frame | 1.000000 | 140.925689 | -0.012703461 -0.0025226886 0.005103012 0.99990314 | OK | NA | none | ok
000060 | 1 | 2500.00 | camera_optical_frame | 1.000000 | 144.973631 | -0.019291932 -0.0030225124 0.006465964 0.9997884 | OK | NA | none | ok
000061 | 1 | 2541.67 | camera_optical_frame | 1.000000 | 148.093308 | -0.02705834 -0.00406078 0.008048885 0.99959326 | OK | NA | none | ok
000062 | 1 | 2583.33 | camera_optical_frame | 1.000000 | 150.295808 | -0.026092935 -0.0039298073 0.0072110426 0.9996258 | OK | NA | none | ok
000063 | 1 | 2625.00 | camera_optical_frame | 1.000000 | 151.429832 | -0.02016314 -0.0030305122 0.005319942 0.999778 | OK | NA | none | ok
000064 | 1 | 2666.67 | camera_optical_frame | 1.000000 | 152.819733 | -0.01424073 -0.002097674 0.003596247 0.99988997 | OK | NA | none | ok
000065 | 1 | 2708.33 | camera_optical_frame | 1.000000 | 153.907762 | -0.008185245 -0.0011699982 0.002006206 0.9999638 | OK | NA | none | ok
000066 | 1 | 2750.00 | camera_optical_frame | 1.000000 | 154.414329 | -0.0055045513 -0.0007374648 0.0013023824 0.9999837 | OK | NA | none | ok
000067 | 1 | 2791.67 | camera_optical_frame | 1.000000 | 154.493739 | 0.0024239805 0.00020524177 -0.0005125405 0.9999969 | OK | NA | none | ok
000068 | 1 | 2833.33 | camera_optical_frame | 1.000000 | 154.406289 | 0.007972872 0.0007368679 -0.0017788935 0.9999664 | OK | NA | none | ok
000069 | 1 | 2875.00 | camera_optical_frame | 1.000000 | 153.964227 | 0.017477356 0.0015433291 -0.0039773188 0.9998382 | OK | NA | none | ok
000070 | 1 | 2916.67 | camera_optical_frame | 1.000000 | 155.060323 | 0.01936474 0.0017299767 -0.004295511 0.99980175 | OK | NA | none | ok
000071 | 1 | 2958.33 | camera_optical_frame | 1.000000 | 153.842994 | 0.01205538 0.0010899616 -0.002709895 0.9999231 | OK | NA | none | ok
000072 | 1 | 3000.00 | camera_optical_frame | 1.000000 | 153.951833 | 0.018440725 0.0015653068 -0.004201738 0.99981993 | OK | NA | none | ok
000073 | 1 | 3041.67 | camera_optical_frame | 1.000000 | 151.493637 | 0.02838588 0.0021792355 -0.006966474 0.9995704 | OK | NA | none | ok
000074 | 1 | 3083.33 | camera_optical_frame | 1.000000 | 150.510348 | 0.03085893 0.0021842204 -0.007879604 0.9994903 | OK | NA | none | ok
000075 | 1 | 3125.00 | camera_optical_frame | 1.000000 | 148.375018 | 0.0379161 0.0026809215 -0.010328651 0.99922395 | OK | NA | none | ok
000076 | 1 | 3166.67 | camera_optical_frame | 1.000000 | 147.808765 | 0.05186792 0.0038448144 -0.014598597 0.99853987 | OK | NA | none | ok
000077 | 1 | 3208.33 | camera_optical_frame | 1.000000 | 144.760207 | 0.06275427 0.0051454697 -0.018995319 0.997835 | OK | NA | none | ok
000078 | 1 | 3250.00 | camera_optical_frame | 1.000000 | 141.848862 | 0.06868392 0.006170721 -0.022438975 0.99736696 | OK | NA | none | ok
000079 | 1 | 3291.67 | camera_optical_frame | 1.000000 | 136.647194 | 0.063808754 0.0062136506 -0.023204256 0.99767303 | OK | NA | none | ok
000080 | 1 | 3333.33 | camera_optical_frame | 1.000000 | 137.577849 | 0.040604927 0.0039044102 -0.01507538 0.99905396 | OK | NA | none | ok
000081 | 1 | 3375.00 | camera_optical_frame | 1.000000 | 131.454229 | 0.0139861265 0.0013595434 -0.0050189844 0.9998887 | OK | NA | none | ok
000082 | 1 | 3416.67 | camera_optical_frame | 1.000000 | 126.764301 | -0.011650621 -0.00089975895 0.006604488 0.99990994 | OK | NA | none | ok
000083 | 1 | 3458.33 | camera_optical_frame | 1.000000 | 118.425996 | -0.03432466 -0.0026427528 0.020290228 0.9992013 | OK | NA | none | ok
000084 | 1 | 3500.00 | camera_optical_frame | 1.000000 | 111.255011 | -0.03861962 -0.0028920048 0.025108978 0.9989343 | OK | NA | none | ok
000085 | 1 | 3541.67 | camera_optical_frame | 1.000000 | 105.837916 | -0.03878876 -0.00263213 0.02766204 0.998861 | OK | NA | none | ok
000086 | 1 | 3583.33 | camera_optical_frame | 1.000000 | 104.885867 | -0.02629565 -0.0017681877 0.019334465 0.99946564 | OK | NA | none | ok
000087 | 1 | 3625.00 | camera_optical_frame | 1.000000 | 105.411486 | -0.0065615517 -0.0004771594 0.00472687 0.9999672 | OK | NA | none | ok
000088 | 1 | 3666.67 | camera_optical_frame | 1.000000 | 103.457850 | 0.0009121337 -5.2195053e-05 -0.00089675945 0.9999992 | OK | NA | none | ok
000089 | 1 | 3708.33 | camera_optical_frame | 1.000000 | 100.491854 | 0.029114272 0.0015538727 -0.024242047 0.9992809 | OK | NA | none | ok
000090 | 1 | 3750.00 | camera_optical_frame | 1.000000 | 90.485281 | -0.022686392 0.8074479 0.025218723 0.5889629 | OK | NA | none | ok
