# PoseStamped log (one line per frame)
# fields: frame_index | has_person | t_ms | frame_id | conf | yaw_deg | qw qx qy qz | status | pos_xyz_m | translation_source | note
# seq=color_000000
000000 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000001
000001 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000002
000002 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000003
000003 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000004
000004 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000005
000005 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000006
000006 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000007
000007 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000008
000008 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000009
000009 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000010
000010 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000011
000011 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000012
000012 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000013
000013 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000014
000014 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000015
000015 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000016
000016 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000017
000017 | 0 | 0.00 | camera_color_optical_frame | NA | NA | 0.000000 0.000000 0.000000 0.000000 | SKIP:no_person | NA | none | gap/no_person
# seq=color_000018
